ROI Label,ROI Name,R,A,S
1,17networks_LH_DefaultA_IPL_1,-46,-66,38
2,17networks_LH_DefaultA_PFCm_1,-6,36,-10
3,17networks_LH_DefaultA_Temp_1,-56,-6,-12
4,17networks_LH_DefaultA_Temp_2,-45,-20,-30
5,17networks_LH_DefaultA_TempPole_1,-43,8,-19
6,17networks_LH_DefaultA_TempPole_2,-28,10,-34
7,17networks_LH_DefaultA_pCunPCC_1,-5,-55,27
8,17networks_LH_DefaultB_FPole_1,-12,63,-6
9,17networks_LH_DefaultB_IPL_1,-57,-54,28
10,17networks_LH_DefaultB_IPL_2,-48,-57,18
11,17networks_LH_DefaultB_PFCd_1,-9,17,63
12,17networks_LH_DefaultB_PFCd_2,-11,47,45
13,17networks_LH_DefaultB_PFCd_3,-8,59,21
14,17networks_LH_DefaultB_PFCl_1,-40,19,49
15,17networks_LH_DefaultB_PFCv_1,-35,20,-13
16,17networks_LH_DefaultB_TempPole_1,-47,8,-33
17,17networks_LH_DefaultC_IPL_1,-39,-80,31
18,17networks_LH_DefaultC_PFCd_1,-24,25,49
19,17networks_LH_DefaultC_PHC_1,-26,-32,-18
20,17networks_LH_DefaultC_RSC_1,-11,-56,13
21,17networks_LH_DefaultC_pCun_1,-6,-54,42
22,17networks_LH_Language_IFG_1,-52,22,8
23,17networks_LH_Language_IFG_2,-46,31,-7
24,17networks_LH_Language_PFCl_1,-43,6,43
25,17networks_LH_Language_Temp_1,-58,-30,-4
26,17networks_LH_ContA_Cingm_1,-3,4,30
27,17networks_LH_ContA_IPS_1,-45,-42,46
28,17networks_LH_ContA_IPS_2,-26,-70,38
29,17networks_LH_ContA_PFCl_1,-44,20,27
30,17networks_LH_ContA_PFCl_2,-42,40,16
31,17networks_LH_ContA_Temp_1,-61,-43,-13
32,17networks_LH_ContB_IPL_1,-53,-51,46
33,17networks_LH_ContB_IPS_1,-35,-62,48
34,17networks_LH_ContB_OFC_1,-42,49,-6
35,17networks_LH_ContB_OFC_2,-10,35,-21
36,17networks_LH_ContB_PCC_1,-4,-31,36
37,17networks_LH_ContB_PFCmp_1,-3,33,43
38,17networks_LH_ContB_Temp_1,-60,-19,-22
39,17networks_LH_ContC_Cingp_1,-5,-29,28
40,17networks_LH_ContC_FPole_1,-28,58,8
41,17networks_LH_ContC_PFCm_1,-6,30,25
42,17networks_LH_ContC_PFCm_2,-6,44,7
43,17networks_LH_ContC_PHC_1,-14,-44,-3
44,17networks_LH_ContC_pCun_1,-9,-73,38
45,17networks_LH_SalVenAttnA_FrMed_1,-6,-3,65
46,17networks_LH_SalVenAttnA_FrMed_2,-6,9,41
47,17networks_LH_SalVenAttnA_Ins_1,-39,-4,-4
48,17networks_LH_SalVenAttnA_Ins_2,-39,1,11
49,17networks_LH_SalVenAttnA_SPL_1,-11,-35,46
50,17networks_LH_SalVenAttnB_IFG_1,-51,9,11
51,17networks_LH_SalVenAttnB_IPL_1,-60,-39,36
52,17networks_LH_SalVenAttnB_Ins_1,-33,20,5
53,17networks_LH_SalVenAttnB_OFC_1,-24,22,-20
54,17networks_LH_SalVenAttnB_OFC_2,-32,42,-13
55,17networks_LH_SalVenAttnB_PFCl_1,-28,43,31
56,17networks_LH_DorsAttnA_IPL_1,-61,-26,28
57,17networks_LH_DorsAttnA_IPL_2,-54,-27,42
58,17networks_LH_DorsAttnA_IPS_1,-33,-49,47
59,17networks_LH_DorsAttnA_PFCd_1,-22,6,62
60,17networks_LH_DorsAttnA_PrCv_1,-48,6,29
61,17networks_LH_DorsAttnA_SPL_1,-17,-73,54
62,17networks_LH_DorsAttnA_SPL_2,-6,-60,57
63,17networks_LH_DorsAttnA_TempOcc_1,-57,-60,-1
64,17networks_LH_DorsAttnA_TempOcc_2,-43,-48,-19
65,17networks_LH_DorsAttnA_TempPole_1,-29,-6,-39
66,17networks_LH_DorsAttnB_PostC_1,-41,-35,47
67,17networks_LH_DorsAttnB_PrCd_1,-20,-11,68
68,17networks_LH_DorsAttnB_SPL_1,-31,-46,63
69,17networks_LH_DorsAttnB_SPL_2,-17,-53,68
70,17networks_LH_Aud_ST_1,-56,-40,20
71,17networks_LH_Aud_ST_2,-53,-24,9
72,17networks_LH_Aud_ST_3,-51,-4,-2
73,17networks_LH_Aud_ST_4,-58,-43,7
74,17networks_LH_SomMotA_ParOper_1,-53,-22,18
75,17networks_LH_SomMotA_1,-32,-22,64
76,17networks_LH_SomMotA_2,-40,-25,57
77,17networks_LH_SomMotA_3,-26,-38,68
78,17networks_LH_SomMotA_4,-49,-28,57
79,17networks_LH_SomMotA_5,-5,-29,67
80,17networks_LH_SomMotA_6,-7,-12,46
81,17networks_LH_SomMotB_Ins_1,-37,-21,16
82,17networks_LH_SomMotB_1,-19,-31,68
83,17networks_LH_SomMotB_2,-47,-9,46
84,17networks_LH_SomMotB_3,-56,-8,31
85,17networks_LH_SomMotB_4,-55,-4,10
86,17networks_LH_VisualA_ExStr_1,-23,-87,23
87,17networks_LH_VisualA_ExStr_2,-40,-85,11
88,17networks_LH_VisualA_ExStr_3,-47,-70,10
89,17networks_LH_VisualA_ExStr_4,-45,-69,-8
90,17networks_LH_VisualA_ExStr_5,-26,-77,-14
91,17networks_LH_VisualA_PrC_1,-31,-4,53
92,17networks_LH_VisualA_SPL_1,-29,-60,59
93,17networks_LH_VisualB_ExStrInf_1,-10,-67,-4
94,17networks_LH_VisualB_ExStrInf_2,-24,-53,-9
95,17networks_LH_VisualB_ExStrSup_1,-7,-87,28
96,17networks_LH_VisualB_ExStrSup_2,-12,-73,22
97,17networks_LH_VisualB_Striate_1,-11,-70,7
98,17networks_LH_VisualC_ExStr_1,-23,-97,6
99,17networks_LH_VisualC_ExStr_2,-27,-95,-12
100,17networks_LH_VisualC_Striate_1,-5,-93,-4
101,17networks_RH_DefaultA_IPL_1,54,-50,28
102,17networks_RH_DefaultA_PFCd_1,23,24,53
103,17networks_RH_DefaultA_PFCd_2,29,30,42
104,17networks_RH_DefaultA_PFCm_1,5,37,-14
105,17networks_RH_DefaultA_Temp_1,55,-6,-10
