ROI Index,Label Name,R,A,S
0,NONE,NA,NA,NA
1,17Networks_LH_VisCent_ExStr_1,-26,-44,-14
2,17Networks_LH_VisCent_ExStr_2,-34,-58,-16
3,17Networks_LH_VisCent_ExStr_3,-34,-78,-16
4,17Networks_LH_VisCent_ExStr_4,-26,-58,-10
5,17Networks_LH_VisCent_ExStr_5,-22,-74,-10
6,17Networks_LH_VisCent_ExStr_6,-40,-82,-16
7,17Networks_LH_VisCent_ExStr_7,-18,-86,-16
8,17Networks_LH_VisCent_ExStr_8,-44,-86,-4
9,17Networks_LH_VisCent_ExStr_9,-24,-98,-12
10,17Networks_LH_VisCent_ExStr_10,-6,-94,-14
11,17Networks_LH_VisCent_ExStr_11,-46,-76,4
12,17Networks_LH_VisCent_ExStr_12,-36,-90,2
13,17Networks_LH_VisCent_ExStr_13,-8,-102,-2
14,17Networks_LH_VisCent_ExStr_14,-6,-94,0
15,17Networks_LH_VisCent_ExStr_15,-20,-100,4
16,17Networks_LH_VisCent_ExStr_16,-28,-92,10
17,17Networks_LH_VisCent_ExStr_17,-6,-98,14
18,17Networks_LH_VisCent_ExStr_18,-36,-88,18
19,17Networks_LH_VisCent_ExStr_19,-18,-94,20
20,17Networks_LH_VisCent_ExStr_20,-28,-84,20
21,17Networks_LH_VisCent_ExStr_21,-22,-84,28
22,17Networks_LH_VisPeri_ExStrSup_1,-20,-48,-8
23,17Networks_LH_VisPeri_ExStrSup_2,-12,-62,-4
24,17Networks_LH_VisPeri_ExStrSup_3,-6,-76,-6
25,17Networks_LH_VisPeri_ExStrSup_4,-14,-42,-4
26,17Networks_LH_VisPeri_ExStrSup_5,-6,-62,4
27,17Networks_LH_VisPeri_ExStrSup_6,-2,-70,4
28,17Networks_LH_VisPeri_ExStrSup_7,-16,-56,0
29,17Networks_LH_VisPeri_ExStrSup_8,-6,-86,0
30,17Networks_LH_VisPeri_ExStrSup_9,-10,-72,8
31,17Networks_LH_VisPeri_ExStrSup_10,-20,-62,8
32,17Networks_LH_VisPeri_ExStrSup_11,-2,-82,10
33,17Networks_LH_VisPeri_ExStrSup_12,-6,-68,16
34,17Networks_LH_VisPeri_ExStrSup_13,-16,-66,16
35,17Networks_LH_VisPeri_ExStrSup_14,-4,-84,24
36,17Networks_LH_VisPeri_ExStrSup_15,-12,-76,24
37,17Networks_LH_VisPeri_ExStrSup_16,-14,-90,34
38,17Networks_LH_VisPeri_ExStrSup_17,-12,-82,38
39,17Networks_LH_SomMotA_1,-56,-20,48
40,17Networks_LH_SomMotA_2,-8,-8,42
41,17Networks_LH_SomMotA_3,-48,-16,52
42,17Networks_LH_SomMotA_4,-50,-26,54
43,17Networks_LH_SomMotA_5,-42,-12,50
44,17Networks_LH_SomMotA_6,-6,-14,50
45,17Networks_LH_SomMotA_7,-46,-24,64
46,17Networks_LH_SomMotA_8,-40,-24,52
47,17Networks_LH_SomMotA_9,-40,-36,62
48,17Networks_LH_SomMotA_10,-36,-20,64
49,17Networks_LH_SomMotA_11,-4,-8,60
50,17Networks_LH_SomMotA_12,-8,-40,58
51,17Networks_LH_SomMotA_13,-4,-26,58
52,17Networks_LH_SomMotA_14,-30,-12,62
53,17Networks_LH_SomMotA_15,-26,-40,58
54,17Networks_LH_SomMotA_16,-32,-30,62
55,17Networks_LH_SomMotA_17,-26,-48,64
56,17Networks_LH_SomMotA_18,-30,-36,70
57,17Networks_LH_SomMotA_19,-20,-12,72
58,17Networks_LH_SomMotA_20,-20,-24,68
59,17Networks_LH_SomMotA_21,-8,-42,70
60,17Networks_LH_SomMotA_22,-22,-38,70
61,17Networks_LH_SomMotA_23,-20,-30,68
62,17Networks_LH_SomMotA_24,-2,-30,68
63,17Networks_LH_SomMotA_25,-6,-16,72
64,17Networks_LH_SomMotA_26,-18,-46,72
65,17Networks_LH_SomMotA_27,-14,-12,72
66,17Networks_LH_SomMotA_28,-12,-26,74
67,17Networks_LH_SomMotA_29,-10,-34,74
68,17Networks_LH_SomMotB_Aud_1,-52,0,-4
69,17Networks_LH_SomMotB_Aud_2,-58,-16,6
70,17Networks_LH_SomMotB_Aud_3,-44,-20,4
71,17Networks_LH_SomMotB_Aud_4,-60,-26,10
72,17Networks_LH_SomMotB_Aud_5,-46,-26,8
73,17Networks_LH_SomMotB_Aud_6,-36,-12,14
74,17Networks_LH_SomMotB_Aud_7,-34,-26,12
75,17Networks_LH_SomMotB_Aud_8,-40,-14,18
76,17Networks_LH_SomMotB_Aud_9,-58,-36,16
77,17Networks_LH_SomMotB_Aud_10,-42,-36,14
78,17Networks_LH_SomMotB_Aud_11,-38,-26,20
79,17Networks_LH_SomMotB_Aud_12,-50,-14,14
