ROI Label,ROI Name,R,A,S
1,17Networks_LH_VisCent_Striate_1,-4,-88,-12
2,17Networks_LH_VisCent_Striate_2,-8,-98,-12
3,17Networks_LH_VisCent_Striate_3,-6,-94,0
4,17Networks_LH_VisCent_Striate_4,-6,-102,2
5,17Networks_LH_VisCent_ExStr_1,-34,-58,-18
6,17Networks_LH_VisCent_ExStr_2,-28,-68,-10
7,17Networks_LH_VisCent_ExStr_3,-34,-78,-16
8,17Networks_LH_VisCent_ExStr_4,-24,-58,-10
9,17Networks_LH_VisCent_ExStr_5,-44,-76,-12
10,17Networks_LH_VisCent_ExStr_6,-18,-76,-10
11,17Networks_LH_VisCent_ExStr_7,-20,-88,-16
12,17Networks_LH_VisCent_ExStr_8,-34,-90,-16
13,17Networks_LH_VisCent_ExStr_9,-44,-84,-4
14,17Networks_LH_VisCent_ExStr_10,-20,-98,-12
15,17Networks_LH_VisCent_ExStr_11,-32,-94,-2
16,17Networks_LH_VisCent_ExStr_12,-46,-76,6
17,17Networks_LH_VisCent_ExStr_13,-40,-88,4
18,17Networks_LH_VisCent_ExStr_14,-18,-102,2
19,17Networks_LH_VisCent_ExStr_15,-32,-88,6
20,17Networks_LH_VisCent_ExStr_16,-24,-96,10
21,17Networks_LH_VisCent_ExStr_17,-12,-98,16
22,17Networks_LH_VisCent_ExStr_18,-32,-90,16
23,17Networks_LH_VisCent_ExStr_19,-20,-90,20
24,17Networks_LH_VisCent_ExStr_20,-26,-80,26
25,17Networks_LH_VisPeri_StriCal_1,-10,-60,2
26,17Networks_LH_VisPeri_StriCal_2,-6,-70,6
27,17Networks_LH_VisPeri_StriCal_3,-8,-84,4
28,17Networks_LH_VisPeri_StriCal_4,-20,-66,6
29,17Networks_LH_VisPeri_StriCal_5,-10,-74,10
30,17Networks_LH_VisPeri_StriCal_6,-2,-80,12
31,17Networks_LH_VisPeri_ExStrInf_1,-28,-48,-4
32,17Networks_LH_VisPeri_ExStrInf_2,-22,-50,-6
33,17Networks_LH_VisPeri_ExStrInf_3,-12,-64,-4
34,17Networks_LH_VisPeri_ExStrInf_4,-14,-50,-8
35,17Networks_LH_VisPeri_ExStrInf_5,-6,-76,-6
36,17Networks_LH_VisPeri_ExStrInf_6,-14,-42,-4
37,17Networks_LH_VisPeri_ExStrInf_7,-18,-52,-2
38,17Networks_LH_VisPeri_ExStrInf_8,-20,-56,4
39,17Networks_LH_VisPeri_ExStrSup_1,-4,-92,18
40,17Networks_LH_VisPeri_ExStrSup_2,-16,-64,14
41,17Networks_LH_VisPeri_ExStrSup_3,-8,-68,16
42,17Networks_LH_VisPeri_ExStrSup_4,-2,-80,24
43,17Networks_LH_VisPeri_ExStrSup_5,-14,-74,24
44,17Networks_LH_VisPeri_ExStrSup_6,-16,-90,30
45,17Networks_LH_VisPeri_ExStrSup_7,-8,-88,34
46,17Networks_LH_VisPeri_ExStrSup_8,-12,-82,36
47,17Networks_LH_VisPeri_ExStrSup_9,-16,-82,48
48,17Networks_LH_SomMotA_1,-56,-18,42
49,17Networks_LH_SomMotA_2,-10,-6,44
50,17Networks_LH_SomMotA_3,-52,-24,48
51,17Networks_LH_SomMotA_4,-52,-16,52
52,17Networks_LH_SomMotA_5,-44,-12,50
53,17Networks_LH_SomMotA_6,-52,-24,56
54,17Networks_LH_SomMotA_7,-46,-32,54
55,17Networks_LH_SomMotA_8,-6,-14,50
56,17Networks_LH_SomMotA_9,-40,-20,48
57,17Networks_LH_SomMotA_10,-42,-8,60
58,17Networks_LH_SomMotA_11,-38,-18,56
59,17Networks_LH_SomMotA_12,-42,-34,64
60,17Networks_LH_SomMotA_13,-32,-42,56
61,17Networks_LH_SomMotA_14,-6,-26,54
62,17Networks_LH_SomMotA_15,-38,-28,58
63,17Networks_LH_SomMotA_16,-4,-8,60
64,17Networks_LH_SomMotA_17,-8,-40,58
65,17Networks_LH_SomMotA_18,-34,-18,68
66,17Networks_LH_SomMotA_19,-30,-38,66
67,17Networks_LH_SomMotA_20,-28,-24,62
68,17Networks_LH_SomMotA_21,-30,-30,66
69,17Networks_LH_SomMotA_22,-24,-12,68
70,17Networks_LH_SomMotA_23,-4,-20,64
71,17Networks_LH_SomMotA_24,-2,-32,62
72,17Networks_LH_SomMotA_25,-8,-44,70
73,17Networks_LH_SomMotA_26,-20,-24,68
74,17Networks_LH_SomMotA_27,-18,-46,66
75,17Networks_LH_SomMotA_28,-12,-6,70
76,17Networks_LH_SomMotA_29,-20,-32,66
77,17Networks_LH_SomMotA_30,-22,-36,74
78,17Networks_LH_SomMotA_31,-16,-14,74
79,17Networks_LH_SomMotA_32,-6,-18,74
80,17Networks_LH_SomMotA_33,-4,-34,72
81,17Networks_LH_SomMotA_34,-16,-38,78
82,17Networks_LH_SomMotA_35,-12,-26,74
83,17Networks_LH_SomMotA_36,-12,-32,72
84,17Networks_LH_SomMotB_Cent_1,-60,-4,18
85,17Networks_LH_SomMotB_Cent_2,-56,-8,26
86,17Networks_LH_SomMotB_Cent_3,-62,-10,36
87,17Networks_LH_SomMotB_Cent_4,-56,-4,32
88,17Networks_LH_SomMotB_Cent_5,-52,-14,40
89,17Networks_LH_SomMotB_Cent_6,-44,-14,38
90,17Networks_LH_SomMotB_Cent_7,-52,-4,48
91,17Networks_LH_SomMotB_Cent_8,-38,-20,42
92,17Networks_LH_SomMotB_S2_1,-36,-14,12
93,17Networks_LH_SomMotB_S2_2,-40,-14,18
94,17Networks_LH_SomMotB_S2_3,-36,-26,20
95,17Networks_LH_SomMotB_S2_4,-50,-12,14
96,17Networks_LH_SomMotB_S2_5,-60,-2,10
97,17Networks_LH_SomMotB_S2_6,-60,-14,14
98,17Networks_LH_SomMotB_S2_7,-48,-24,18
99,17Networks_LH_SomMotB_S2_8,-62,-18,22
100,17Networks_LH_SomMotB_S2_9,-64,-10,24
101,17Networks_LH_SomMotB_Ins_1,-34,-26,12
102,17Networks_LH_SomMotB_Aud_1,-50,6,-8
103,17Networks_LH_SomMotB_Aud_2,-56,-4,0
104,17Networks_LH_SomMotB_Aud_3,-56,-16,6
105,17Networks_LH_SomMotB_Aud_4,-44,-20,4
106,17Networks_LH_SomMotB_Aud_5,-60,-26,10
107,17Networks_LH_SomMotB_Aud_6,-46,-26,8
108,17Networks_LH_SomMotB_Aud_7,-58,-36,16
109,17Networks_LH_SomMotB_Aud_8,-42,-36,14
110,17Networks_LH_DorsAttnA_TempOcc_1,-34,-40,-22
111,17Networks_LH_DorsAttnA_TempOcc_2,-44,-46,-20
112,17Networks_LH_DorsAttnA_TempOcc_3,-26,-46,-14
113,17Networks_LH_DorsAttnA_TempOcc_4,-44,-62,-16
114,17Networks_LH_DorsAttnA_TempOcc_5,-44,-66,-6
115,17Networks_LH_DorsAttnA_TempOcc_6,-50,-66,2
116,17Networks_LH_DorsAttnA_TempOcc_7,-48,-64,10
117,17Networks_LH_DorsAttnA_ParOcc_1,-50,-72,16
118,17Networks_LH_DorsAttnA_ParOcc_2,-42,-82,16
119,17Networks_LH_DorsAttnA_ParOcc_3,-44,-64,16
120,17Networks_LH_DorsAttnA_ParOcc_4,-32,-84,24
121,17Networks_LH_DorsAttnA_SPL_1,-28,-70,30
122,17Networks_LH_DorsAttnA_SPL_2,-22,-84,42
123,17Networks_LH_DorsAttnA_SPL_3,-22,-72,38
124,17Networks_LH_DorsAttnA_SPL_4,-16,-74,50
125,17Networks_LH_DorsAttnA_SPL_5,-22,-66,52
126,17Networks_LH_DorsAttnA_SPL_6,-28,-58,54
127,17Networks_LH_DorsAttnA_SPL_7,-34,-54,58
128,17Networks_LH_DorsAttnA_SPL_8,-18,-70,60
129,17Networks_LH_DorsAttnA_SPL_9,-28,-62,62
130,17Networks_LH_DorsAttnA_SPL_10,-10,-66,60
131,17Networks_LH_DorsAttnB_TempOcc_1,-58,-62,6
132,17Networks_LH_DorsAttnB_PostC_1,-62,-22,32
133,17Networks_LH_DorsAttnB_PostC_2,-54,-24,38
134,17Networks_LH_DorsAttnB_PostC_3,-56,-32,46
135,17Networks_LH_DorsAttnB_PostC_4,-50,-28,42
136,17Networks_LH_DorsAttnB_PostC_5,-44,-32,44
137,17Networks_LH_DorsAttnB_PostC_6,-36,-36,46
138,17Networks_LH_DorsAttnB_PostC_7,-36,-46,52
139,17Networks_LH_DorsAttnB_PostC_8,-40,-40,56
140,17Networks_LH_DorsAttnB_PostC_9,-30,-48,64
141,17Networks_LH_DorsAttnB_PostC_10,-6,-58,64
142,17Networks_LH_DorsAttnB_PostC_11,-20,-58,66
143,17Networks_LH_DorsAttnB_PostC_12,-14,-50,72
144,17Networks_LH_DorsAttnB_FEF_1,-40,-4,50
145,17Networks_LH_DorsAttnB_FEF_2,-32,0,56
146,17Networks_LH_DorsAttnB_FEF_3,-30,-10,56
147,17Networks_LH_DorsAttnB_FEF_4,-24,-6,54
148,17Networks_LH_DorsAttnB_FEF_5,-16,-6,64
149,17Networks_LH_DorsAttnB_PrCv_1,-58,8,32
150,17Networks_LH_SalVentAttnA_ParOper_1,-46,-38,24
151,17Networks_LH_SalVentAttnA_ParOper_2,-54,-40,30
152,17Networks_LH_SalVentAttnA_ParOper_3,-60,-30,22
153,17Networks_LH_SalVentAttnA_ParOper_4,-62,-36,36
154,17Networks_LH_SalVentAttnA_FrOper_1,-40,2,12
155,17Networks_LH_SalVentAttnA_FrOper_2,-50,2,4
156,17Networks_LH_SalVentAttnA_FrOper_3,-56,8,12
157,17Networks_LH_SalVentAttnA_FrOper_4,-58,6,20
158,17Networks_LH_SalVentAttnA_Ins_1,-38,0,-4
159,17Networks_LH_SalVentAttnA_Ins_2,-40,-14,-2
160,17Networks_LH_SalVentAttnA_Ins_3,-32,20,8
161,17Networks_LH_SalVentAttnA_Ins_4,-36,-4,8
162,17Networks_LH_SalVentAttnA_ParMed_1,-8,-20,40
163,17Networks_LH_SalVentAttnA_ParMed_2,-12,-36,42
164,17Networks_LH_SalVentAttnA_ParMed_3,-12,-26,42
165,17Networks_LH_SalVentAttnA_ParMed_4,-12,-44,52
166,17Networks_LH_SalVentAttnA_ParMed_5,-12,-34,48
167,17Networks_LH_SalVentAttnA_ParMed_6,-10,-48,60
168,17Networks_LH_SalVentAttnA_FrMed_1,-6,18,32
169,17Networks_LH_SalVentAttnA_FrMed_2,-4,-4,38
170,17Networks_LH_SalVentAttnA_FrMed_3,-6,6,38
171,17Networks_LH_SalVentAttnA_FrMed_4,-6,2,50
172,17Networks_LH_SalVentAttnA_FrMed_5,-4,2,60
173,17Networks_LH_SalVentAttnA_FrMed_6,-8,-2,70
174,17Networks_LH_SalVentAttnB_IPL_1,-62,-44,30
175,17Networks_LH_SalVentAttnB_IPL_2,-58,-44,42
176,17Networks_LH_SalVentAttnB_PFCd_1,-16,4,70
177,17Networks_LH_SalVentAttnB_PFCl_1,-30,46,28
178,17Networks_LH_SalVentAttnB_PFCl_2,-26,38,36
179,17Networks_LH_SalVentAttnB_PFCl_3,-34,32,38
180,17Networks_LH_SalVentAttnB_Ins_1,-36,14,-8
181,17Networks_LH_SalVentAttnB_Ins_2,-28,22,-6
182,17Networks_LH_SalVentAttnB_Ins_3,-32,20,0
