Resolution,Old parcel index,Old parcel name,New parcel index,New parcel name
100Parcels_7Networks,23,7Networks_LH_DorsAttn_FEF_2,23,7Networks_LH_DorsAttn_FEF_1
100Parcels_7Networks,73,7Networks_RH_DorsAttn_FEF_2,73,7Networks_RH_DorsAttn_FEF_1
100Parcels_7Networks,88,7Networks_RH_Cont_PFCmp_2,88,7Networks_RH_Cont_PFCmp_1
200Parcels_7Networks,66,7Networks_LH_Cont_PFCl_2,66,7Networks_LH_Cont_PFCl_1
200Parcels_7Networks,67,7Networks_LH_Cont_PFCl_3,67,7Networks_LH_Cont_PFCl_2
200Parcels_7Networks,68,7Networks_LH_Cont_PFCl_4,68,7Networks_LH_Cont_PFCl_3
200Parcels_7Networks,69,7Networks_LH_Cont_PFCl_5,69,7Networks_LH_Cont_PFCl_4
200Parcels_7Networks,70,7Networks_LH_Cont_PFCl_6,70,7Networks_LH_Cont_PFCl_5
200Parcels_7Networks,180,7Networks_RH_Cont_PFCmp_3,180,7Networks_RH_Cont_PFCmp_1
200Parcels_7Networks,181,7Networks_RH_Cont_PFCmp_4,181,7Networks_RH_Cont_PFCmp_2
300Parcels_7Networks,102,7Networks_LH_Cont_PFCl_2,102,7Networks_LH_Cont_PFCl_1
300Parcels_7Networks,103,7Networks_LH_Cont_PFCl_3,103,7Networks_LH_Cont_PFCl_2
300Parcels_7Networks,104,7Networks_LH_Cont_PFCl_4,104,7Networks_LH_Cont_PFCl_3
300Parcels_7Networks,105,7Networks_LH_Cont_PFCl_5,105,7Networks_LH_Cont_PFCl_4
300Parcels_7Networks,106,7Networks_LH_Cont_PFCl_6,106,7Networks_LH_Cont_PFCl_5
300Parcels_7Networks,107,7Networks_LH_Cont_PFCl_7,107,7Networks_LH_Cont_PFCl_6
400Parcels_7Networks,135,7Networks_LH_Cont_PFCl_2,135,7Networks_LH_Cont_PFCl_1
400Parcels_7Networks,136,7Networks_LH_Cont_PFCl_3,136,7Networks_LH_Cont_PFCl_2
400Parcels_7Networks,137,7Networks_LH_Cont_PFCl_4,137,7Networks_LH_Cont_PFCl_3
400Parcels_7Networks,138,7Networks_LH_Cont_PFCl_5,138,7Networks_LH_Cont_PFCl_4
