ROI Label,ROI Name,R,A,S
1,17networks_LH_DefaultC_IPL,-40,-80,28
2,17networks_LH_DefaultC_PHC,-26,-32,-18
3,17networks_LH_DefaultB_IPL_1,-58,-48,36
4,17networks_LH_DefaultB_IPL_2,-48,-62,26
5,17networks_LH_DefaultB_PFCd_1,-10,18,62
6,17networks_LH_DefaultB_PFCd_2,-6,48,40
7,17networks_LH_DefaultB_PFCl,-42,12,46
8,17networks_LH_DefaultB_PFCm,-6,54,16
9,17networks_LH_DefaultB_PFCv_1,-50,20,8
10,17networks_LH_DefaultB_PFCv_2,-34,20,-12
11,17networks_LH_DefaultB_Temp,-60,-34,-4
12,17networks_LH_DefaultB_TempPole,-48,10,-30
13,17networks_LH_DefaultA_IPL_1,-40,-72,42
14,17networks_LH_DefaultA_PCC,-4,-52,28
15,17networks_LH_DefaultA_PFCd_1,-20,40,42
16,17networks_LH_DefaultA_PFCd_2,-26,20,52
17,17networks_LH_DefaultA_PFCd_3,-18,64,16
18,17networks_LH_DefaultA_PFCm_1,-6,56,-6
19,17networks_LH_DefaultA_PFCm_2,-6,34,-10
20,17networks_LH_DefaultA_RSC,-10,-56,12
21,17networks_LH_DefaultA_TempPole,-28,2,-38
22,17networks_LH_DefaultA_Temp_1,-60,-14,-22
23,17networks_LH_DefaultA_Temp_2,-42,-16,-32
24,17networks_LH_DefaultA_pCun,-6,-52,40
25,17networks_LH_ContC_PCC,-4,-26,34
26,17networks_LH_ContC_PFCl,-26,50,24
27,17networks_LH_ContC_PFCm,-6,40,12
28,17networks_LH_ContC_pCun,-10,-68,30
29,17networks_LH_ContB_FPole_1,-30,56,6
30,17networks_LH_ContB_FPole_2,-16,62,-12
31,17networks_LH_ContB_FrMed,-4,26,42
32,17networks_LH_ContB_IPL_1,-48,-56,48
33,17networks_LH_ContB_OFC_1,-8,32,-22
34,17networks_LH_ContB_OFC_2,-22,26,-20
35,17networks_LH_ContB_PFCv,-38,46,-12
36,17networks_LH_ContB_Temp,-60,-46,-12
37,17networks_LH_ContA_IPS_1,-32,-56,42
38,17networks_LH_ContA_IPS_2,-28,-72,36
39,17networks_LH_ContA_IPS_3,-48,-42,50
40,17networks_LH_ContA_PFCl_1,-44,22,26
41,17networks_LH_ContA_PFCl_2,-42,42,12
42,17networks_LH_ContA_PrCv,-46,4,34
43,17networks_LH_ContA_TempOcc,-48,-44,-22
44,17networks_LH_ContA_pCun,-6,-72,48
45,17networks_LH_Language_PFCv,-48,32,-4
46,17networks_LH_Language_Temp_1,-54,-52,18
47,17networks_LH_Language_Temp_2,-58,-36,6
48,17networks_LH_Language_Temp_3,-54,-12,-8
49,17networks_LH_SalVenAttnB_FrMed,-4,12,30
50,17networks_LH_SalVenAttnB_Ins,-34,14,6
51,17networks_LH_SalVenAttnB_PFCl,-36,36,34
52,17networks_LH_SalVenAttnB_PrCv,-50,8,16
53,17networks_LH_SalVenAttnB_Temp,-54,-56,10
54,17networks_LH_SalVenAttnA_FrMed_1,-6,-4,64
55,17networks_LH_SalVenAttnA_FrMed_2,-8,8,42
56,17networks_LH_SalVenAttnA_IPL,-60,-28,30
57,17networks_LH_SalVenAttnA_Ins,-40,4,-12
58,17networks_LH_SalVenAttnA_Oper,-54,-6,10
59,17networks_LH_SalVenAttnA_PrCd,-38,-4,52
60,17networks_LH_SalVenAttnA_SPL,-12,-36,44
61,17networks_LH_SalVenAttnA_ST,-56,-42,22
62,17networks_LH_DorsAttnB_PostC_1,-38,-36,44
63,17networks_LH_DorsAttnB_PostC_2,-52,-26,40
64,17networks_LH_DorsAttnB_PrCd,-26,-12,58
65,17networks_LH_DorsAttnB_SPL,-18,-50,68
66,17networks_LH_DorsAttnA_PFCd,-22,4,60
67,17networks_LH_DorsAttnA_SPL_1,-6,-54,58
68,17networks_LH_DorsAttnA_SPL_2,-18,-72,52
69,17networks_LH_DorsAttnA_TempOcc,-54,-64,0
70,17networks_LH_Aud_Ins,-46,-10,-2
71,17networks_LH_Aud_ST,-54,-24,8
72,17networks_LH_SomMotB_1,-40,-14,48
73,17networks_LH_SomMotB_2,-52,-6,42
74,17networks_LH_SomMotB_3,-54,-12,38
75,17networks_LH_SomMotB_4,-60,-6,24
76,17networks_LH_SomMotB_Ins,-38,-8,14
77,17networks_LH_SomMotA_1,-16,-10,70
78,17networks_LH_SomMotA_2,-16,-24,70
79,17networks_LH_SomMotA_3,-4,-32,64
80,17networks_LH_SomMotA_4,-20,-32,70
81,17networks_LH_SomMotA_5,-8,-14,46
82,17networks_LH_SomMotA_6,-36,-20,64
83,17networks_LH_SomMotA_7,-38,-28,62
84,17networks_LH_SomMotA_8,-32,-42,62
85,17networks_LH_SomMotA_9,-50,-22,54
86,17networks_LH_SomMotA_Ins,-42,-28,18
87,17networks_LH_VisualC_ExStr,-22,-98,-4
88,17networks_LH_VisualB_ExStr,-14,-90,24
89,17networks_LH_VisualB_ExStrInf_1,-16,-52,2
90,17networks_LH_VisualB_ExStrInf_2,-14,-64,-6
91,17networks_LH_VisualB_ExStrSup,-8,-76,26
92,17networks_LH_VisualB_Striate_1,-10,-72,8
93,17networks_LH_VisualB_Striate_2,-4,-92,-4
94,17networks_LH_VisualA_ExStr_1,-34,-86,14
95,17networks_LH_VisualA_ExStr_2,-22,-80,-14
96,17networks_LH_VisualA_ExStr_3,-44,-80,-6
97,17networks_LH_VisualA_ExStr_4,-30,-50,-16
98,17networks_LH_VisualA_SPL,-32,-56,56
99,17networks_LH_VisualA_TempOcc_1,-46,-72,10
100,17networks_LH_VisualA_TempOcc_2,-44,-62,-12
101,17networks_RH_DefaultC_IPL,48,-68,26
102,17networks_RH_DefaultC_PHC,26,-28,-20
103,17networks_RH_ContC_IPL,60,-40,38
104,17networks_RH_DefaultA_IPL_1,54,-52,26
105,17networks_RH_DefaultB_PFCd_1,14,22,60
106,17networks_RH_DefaultB_PFCd_2,8,50,38
107,17networks_RH_ContB_PFCl,42,16,48
108,17networks_RH_DefaultA_PFCm_3,6,54,14
109,17networks_RH_ContC_PFCv_1,52,20,10
110,17networks_RH_ContC_PFCv_2,36,22,-12
111,17networks_RH_DefaultB_Temp,60,-30,-4
112,17networks_RH_DefaultB_TempPole,48,12,-28
113,17networks_RH_ContB_IPL_2,44,-66,44
114,17networks_RH_DefaultA_PCC,6,-54,26
115,17networks_RH_DefaultA_PFCd_1,22,40,42
116,17networks_RH_ContB_PFCd,28,22,50
117,17networks_RH_DefaultB_PFCd_3,18,64,16
118,17networks_RH_DefaultA_PFCm_1,6,54,-6
119,17networks_RH_DefaultA_PFCm_2,4,32,-12
120,17networks_RH_DefaultC_RSC,12,-54,14
121,17networks_RH_DefaultA_TempPole,28,4,-38
122,17networks_RH_DefaultA_Temp_1,60,-10,-22
123,17networks_RH_DefaultC_Temp,44,-14,-34
124,17networks_RH_DefaultA_pCun,8,-52,40
125,17networks_RH_ContC_PCC,6,-28,34
126,17networks_RH_ContC_PFCl,28,50,26
127,17networks_RH_ContC_PFCm,8,38,12
128,17networks_RH_ContC_pCun,14,-66,32
129,17networks_RH_ContB_FPole_1,30,56,6
130,17networks_RH_ContC_FPole,16,62,-12
131,17networks_RH_ContC_FrMed,6,28,40
132,17networks_RH_ContB_IPL_1,52,-52,46
133,17networks_RH_ContB_OFC_1,8,34,-22
134,17networks_RH_ContA_OFC,22,26,-20
135,17networks_RH_ContB_PFCv,38,48,-12
136,17networks_RH_ContB_Temp,62,-40,-12
137,17networks_RH_ContA_IPS_1,36,-52,44
138,17networks_RH_ContA_IPS_2,32,-68,40
139,17networks_RH_ContA_IPS_3,48,-38,48
140,17networks_RH_ContA_PFCl_1,46,26,26
141,17networks_RH_ContA_PFCl_2,44,44,12
142,17networks_RH_ContA_PrCv,46,6,34
143,17networks_RH_ContA_TempOcc,52,-38,-24
144,17networks_RH_ContA_pCun,8,-72,48
145,17networks_RH_Language_PFCv,50,30,-4
146,17networks_RH_Language_Temp_1,56,-42,18
147,17networks_RH_Language_Temp_2,58,-30,4
148,17networks_RH_Language_Temp_3,56,-8,-8
149,17networks_RH_SalVenAttnB_FrMed,4,12,30
150,17networks_RH_SalVenAttnB_Ins,36,14,6
151,17networks_RH_SalVenAttnB_PFCl,36,36,34
152,17networks_RH_SalVenAttnB_PrCv,52,10,18
153,17networks_RH_Language_Temp_4,58,-50,10
154,17networks_RH_SalVenAttnA_FrMed_1,8,0,64
155,17networks_RH_SalVenAttnA_FrMed_2,8,8,42
156,17networks_RH_SalVenAttnA_IPL,62,-22,32
157,17networks_RH_SalVenAttnA_Ins,42,6,-12
158,17networks_RH_SalVenAttnA_Oper,56,-4,12
159,17networks_RH_DorsAttnA_PrCd,40,-2,52
160,17networks_RH_SalVenAttnA_SPL,12,-34,46
161,17networks_RH_SalVenAttnA_ST,60,-32,24
162,17networks_RH_DorsAttnB_PostC_1,38,-36,48
163,17networks_RH_DorsAttnB_PostC_2,54,-22,42
164,17networks_RH_DorsAttnB_PrCd,26,-10,58
165,17networks_RH_DorsAttnB_SPL,18,-50,70
166,17networks_RH_DorsAttnA_PFCd,24,6,58
167,17networks_RH_DorsAttnA_SPL_1,8,-54,58
168,17networks_RH_DorsAttnA_SPL_2,20,-70,54
169,17networks_RH_DorsAttnA_TempOcc,58,-56,-2
170,17networks_RH_Aud_Ins,46,-8,-2
171,17networks_RH_Aud_ST,56,-20,8
172,17networks_RH_SomMotB_1,44,-12,48
173,17networks_RH_SomMotB_2,54,-4,40
174,17networks_RH_SomMotB_3,54,-10,36
175,17networks_RH_SomMotB_4,62,-4,24
176,17networks_RH_SomMotB_Ins,38,-8,14
177,17networks_RH_SomMotA_1,18,-8,70
178,17networks_RH_SomMotA_2,18,-24,72
179,17networks_RH_SomMotA_3,4,-32,64
180,17networks_RH_SomMotA_4,20,-32,72
181,17networks_RH_SomMotA_5,8,-14,46
182,17networks_RH_SomMotA_6,36,-20,64
183,17networks_RH_SomMotA_7,40,-28,62
184,17networks_RH_SomMotA_8,32,-38,62
185,17networks_RH_SomMotA_9,52,-20,54
186,17networks_RH_SomMotA_Ins,44,-24,18
187,17networks_RH_VisualC_ExStr,28,-96,-2
188,17networks_RH_VisualB_ExStr,18,-88,26
189,17networks_RH_VisualB_ExStrInf_1,20,-52,2
190,17networks_RH_VisualB_ExStrInf_2,16,-62,-6
191,17networks_RH_VisualB_ExStrSup,12,-74,26
192,17networks_RH_VisualB_Striate_1,10,-72,10
193,17networks_RH_VisualB_Striate_2,8,-92,0
194,17networks_RH_VisualA_ExStr_1,38,-82,16
195,17networks_RH_VisualA_ExStr_2,24,-78,-12
196,17networks_RH_VisualA_ExStr_3,46,-76,-8
197,17networks_RH_VisualA_ExStr_4,32,-46,-18
198,17networks_RH_VisualA_SPL,32,-54,58
199,17networks_RH_VisualA_TempOcc_1,48,-64,8
200,17networks_RH_VisualA_TempOcc_2,48,-58,-14
