ROI Label,ROI Name,R,A,S
1,7networks_LH_Default_FPole_1,-12,66,6
2,7networks_LH_Default_FPole_2,-6,58,-10
3,7networks_LH_Default_IPL_1,-42,-72,40
4,7networks_LH_Default_IPL_2,-48,-62,34
5,7networks_LH_Default_IPL_3,-44,-74,22
6,7networks_LH_Default_IPL_4,-46,-62,20
7,7networks_LH_Default_IPL_5,-56,-54,26
8,7networks_LH_Default_PCC_1,-4,-34,36
9,7networks_LH_Default_PCC_2,-8,-54,34
10,7networks_LH_Default_PCC_3,-4,-54,24
11,7networks_LH_Default_PFCd_1,-28,20,52
12,7networks_LH_Default_PFCd_2,-20,34,46
13,7networks_LH_Default_PFCd_3,-10,44,48
14,7networks_LH_Default_PFCd_4,-4,52,28
15,7networks_LH_Default_PFCd_5,-20,58,24
16,7networks_LH_Default_PFCd_6,-6,20,58
17,7networks_LH_Default_PFCl,-42,16,44
18,7networks_LH_Default_PFCm_1,-6,36,18
19,7networks_LH_Default_PFCm_2,-6,46,2
20,7networks_LH_Default_PFCm_3,-6,32,-12
21,7networks_LH_Default_PFCv_1,-34,36,-12
22,7networks_LH_Default_PFCv_2,-46,30,-10
23,7networks_LH_Default_PFCv_3,-32,20,-18
24,7networks_LH_Default_PFCv_4,-54,20,12
25,7networks_LH_Default_PFCv_5,-50,30,2
26,7networks_LH_Default_RSC_1,-8,-54,10
27,7networks_LH_Default_RSC_2,-16,-62,20
28,7networks_LH_Default_TempPole,-50,4,-32
29,7networks_LH_Default_Temp_1,-50,-38,2
30,7networks_LH_Default_Temp_2,-62,-36,-4
31,7networks_LH_Default_Temp_3,-56,-22,-4
32,7networks_LH_Default_Temp_4,-54,-2,-12
33,7networks_LH_Default_Temp_5,-62,-14,-16
34,7networks_LH_Default_Temp_6,-60,-38,-18
35,7networks_LH_Default_pCun,-6,-56,44
36,7networks_LH_Cont_Cingm,-2,0,32
37,7networks_LH_Cont_FPole_1,-30,56,10
38,7networks_LH_Cont_IPL,-54,-52,42
39,7networks_LH_Cont_IPS_1,-30,-66,46
40,7networks_LH_Cont_IPS_2,-46,-42,48
41,7networks_LH_Cont_IPS_3,-42,-56,50
42,7networks_LH_Cont_Ins,-32,20,-6
43,7networks_LH_Cont_PCC,-4,-30,28
44,7networks_LH_Cont_PFCd_1,-22,10,58
45,7networks_LH_Cont_PFCl_1,-44,32,30
46,7networks_LH_Cont_PFCl_2,-44,20,24
47,7networks_LH_Cont_PFCl_3,-42,42,14
48,7networks_LH_Cont_PFCl_4,-36,6,30
49,7networks_LH_Cont_PFCv_1,-42,48,-6
50,7networks_LH_Cont_PrC,-44,4,46
51,7networks_LH_Cont_TempOcc,-60,-54,-8
52,7networks_LH_Cont_pCun,-8,-70,34
53,7networks_LH_Limbic_FPole,-24,58,-12
54,7networks_LH_Limbic_OFC_1,-10,46,-22
55,7networks_LH_Limbic_OFC_2,-4,22,-20
56,7networks_LH_Limbic_OFC_3,-22,32,-18
57,7networks_LH_Limbic_OFC_4,-14,18,-20
58,7networks_LH_Limbic_PHC,-22,-18,-28
59,7networks_LH_Limbic_ST,-44,14,-24
