ROI Index,Label Name,R,A,S
0,NONE,NA,NA,NA
1,17Networks_LH_VisCent_Striate,-8,-98,-8
2,17Networks_LH_VisCent_ExStr,-32,-88,-6
3,17Networks_LH_VisPeri_StriCal,-8,-78,6
4,17Networks_LH_VisPeri_ExStrInf,-14,-58,-4
5,17Networks_LH_VisPeri_ExStrSup,-8,-82,28
6,17Networks_LH_SomMotA,-20,-30,68
7,17Networks_LH_SomMotB_Cent,-52,-10,34
8,17Networks_LH_SomMotB_S2,-52,-16,16
9,17Networks_LH_SomMotB_Ins,-32,-22,8
10,17Networks_LH_SomMotB_Aud,-52,-20,8
11,17Networks_LH_DorsAttnA_TempOcc,-44,-60,-10
12,17Networks_LH_DorsAttnA_ParOcc,-42,-80,20
13,17Networks_LH_DorsAttnA_SPL,-22,-68,54
14,17Networks_LH_DorsAttnB_TempOcc,-54,-64,8
15,17Networks_LH_DorsAttnB_PostC,-40,-40,52
16,17Networks_LH_DorsAttnB_FEF,-26,-6,56
17,17Networks_LH_DorsAttnB_PrCv,-54,6,38
18,17Networks_LH_SalVentAttnA_ParOper,-60,-30,26
19,17Networks_LH_SalVentAttnA_FrOper,-52,4,6
20,17Networks_LH_SalVentAttnA_Ins,-38,-2,-4
21,17Networks_LH_SalVentAttnA_ParMed,-16,-32,42
22,17Networks_LH_SalVentAttnA_FrMed,-6,4,46
23,17Networks_LH_SalVentAttnB_IPL,-62,-42,36
24,17Networks_LH_SalVentAttnB_PFCd,-16,8,66
25,17Networks_LH_SalVentAttnB_PFCl,-32,44,28
26,17Networks_LH_SalVentAttnB_Ins,-34,20,0
27,17Networks_LH_SalVentAttnB_OFC,-28,40,-12
28,17Networks_LH_SalVentAttnB_PFCmp,-6,24,32
29,17Networks_LH_LimbicA_TempPole,-34,-4,-38
30,17Networks_LH_LimbicB_OFC,-10,36,-20
31,17Networks_LH_ContA_Temp,-56,-58,-14
32,17Networks_LH_ContA_IPS,-38,-50,44
33,17Networks_LH_ContA_PFCd,-22,8,54
34,17Networks_LH_ContA_PFCl,-42,12,28
35,17Networks_LH_ContA_PFClv,-44,38,12
36,17Networks_LH_ContA_Cingm,-4,4,28
37,17Networks_LH_ContB_Temp,-60,-38,-14
38,17Networks_LH_ContB_IPL,-48,-54,50
39,17Networks_LH_ContB_PFCd,-30,16,62
40,17Networks_LH_ContB_PFCl,-44,24,40
41,17Networks_LH_ContB_PFClv,-34,56,-2
42,17Networks_LH_ContB_PFCmp,-4,30,46
43,17Networks_LH_ContC_pCun,-6,-68,46
44,17Networks_LH_ContC_Cingp,-6,-26,28
45,17Networks_LH_DefaultA_IPL,-44,-68,38
46,17Networks_LH_DefaultA_PFCd,-22,28,46
47,17Networks_LH_DefaultA_pCunPCC,-6,-52,32
48,17Networks_LH_DefaultA_PFCm,-8,50,4
49,17Networks_LH_DefaultB_Temp,-58,-12,-20
50,17Networks_LH_DefaultB_IPL,-52,-56,28
