Label Name,Network Name,Full component name
NONE,None,None
7Networks_LH_Vis,visual,visual
7Networks_LH_SomMot,somatomotor,somatomotor
7Networks_LH_DorsAttn_Post,dorsal attention,posterior
7Networks_LH_DorsAttn_FEF,dorsal attention,frontal eye fields
7Networks_LH_DorsAttn_PrCv,dorsal attention,precentral ventral
7Networks_LH_SalVentAttn_ParOper,salience / ventral attention,parietal operculum
7Networks_LH_SalVentAttn_TempOcc,salience / ventral attention,temporal occipital
7Networks_LH_SalVentAttn_FrOperIns,salience / ventral attention,frontal operculum insula
7Networks_LH_SalVentAttn_PFCl,salience / ventral attention,lateral prefrontal cortex
7Networks_LH_SalVentAttn_Med,salience / ventral attention,medial
7Networks_LH_Limbic_OFC,limbic,orbital frontal cortex
7Networks_LH_Limbic_TempPole,limbic,temporal pole
7Networks_LH_Cont_Par,control,parietal 
7Networks_LH_Cont_Temp,control,temporal
7Networks_LH_Cont_PFCd,control,dorsal prefrontal cortex
7Networks_LH_Cont_PFCl,control,lateral prefrontal cortex
7Networks_LH_Cont_OFC,control,orbital frontal cortex
7Networks_LH_Cont_PFCv,control,ventral prefrontal cortex
7Networks_LH_Cont_pCun,control,precuneus
7Networks_LH_Cont_Cing,control,cingulate
7Networks_LH_Cont_PFCmp,control,medial posterior prefrontal cortex
7Networks_LH_Default_Par,default,parietal
7Networks_LH_Default_Temp,default,temporal
7Networks_LH_Default_PFC,default,prefrontal cortex
7Networks_LH_Default_pCunPCC,default,precuneus posterior cingulate cortex
7Networks_LH_Default_PHC,default,parahippocampal cortex
7Networks_RH_Vis,visual,visual
7Networks_RH_SomMot,somatomotor,somatomotor
7Networks_RH_DorsAttn_Post,dorsal attention,posterior
7Networks_RH_DorsAttn_FEF,dorsal attention,frontal eye fields
7Networks_RH_DorsAttn_PrCv,dorsal attention,precentral ventral
7Networks_RH_SalVentAttn_TempOccPar,salience / ventral attention,temporal occipital parietal
7Networks_RH_SalVentAttn_PrC,salience / ventral attention,precentral
7Networks_RH_SalVentAttn_FrOperIns,salience / ventral attention,frontal operculum insula
7Networks_RH_SalVentAttn_PFCv,salience / ventral attention,ventral prefrontal cortex
7Networks_RH_SalVentAttn_PFCl,salience / ventral attention,lateral prefrontal cortex
7Networks_RH_SalVentAttn_Med,salience / ventral attention,medial
7Networks_RH_Limbic_OFC,limbic,orbital frontal cortex
7Networks_RH_Limbic_TempPole,limbic,temporal pole
7Networks_RH_Cont_Par,control,parietal
7Networks_RH_Cont_Temp,control,temporal
7Networks_RH_Cont_PFCv,control,ventral prefrontal cortex
7Networks_RH_Cont_PFCl,control,lateral prefrontal cortex
7Networks_RH_Cont_pCun,control,precuneus
7Networks_RH_Cont_Cing,control,cingulate
7Networks_RH_Cont_PFCmp,control,medial posterior prefrontal cortex
7Networks_RH_Default_Par,default,parietal
7Networks_RH_Default_Temp,default,temporal
7Networks_RH_Default_PFCv,default,ventral prefrontal cortex
7Networks_RH_Default_PFCdPFCm,default,dorsal prefrontal cortex medial prefrontal cortex
7Networks_RH_Default_pCunPCC,default,precuneus posterior cingulate cortex
