Name parcel,Strength of involvement across LCs 1-3,"MNI coordinates(x,y,z)",,
17Networks_LH_SomMotB_Cent_2,82.25,-62,-10,32
17Networks_LH_SomMotB_S2_2,82.08,-36,-26,18
17Networks_LH_SomMotB_S2_3,81.52,-48,-12,14
17Networks_RH_SomMotB_Aud_3,80.43,60,-24,10
17Networks_RH_SomMotA_19,80.06,16,-18,74
17Networks_RH_SomMotB_S2_3,79.73,42,-14,18
17Networks_RH_SomMotA_8,79.14,32,-34,64
17Networks_LH_SomMotA_14,79.01,-8,-42,70
17Networks_RH_SomMotB_S2_5,78.68,50,-10,14
17Networks_RH_SomMotA_13,78.47,10,-40,68
17Networks_RH_SomMotB_Cent_2,78.23,60,-6,26
17Networks_RH_SomMotA_10,78.13,34,-28,62
17Networks_RH_SomMotB_S2_4,77.68,42,-30,18
17Networks_RH_SomMotB_S2_8,77.59,62,-12,16
17Networks_LH_SomMotB_Aud_4,76.91,-40,-36,14
17Networks_LH_SomMotB_Cent_1,76.20,-60,-2,24
17Networks_RH_SomMotA_20,76.04,12,-32,76
17Networks_LH_SomMotA_11,76.00,-30,-38,66
17Networks_RH_SomMotA_6,75.38,44,-22,54
17Networks_LH_SomMotB_Aud_2,74.94,-56,-22,8
17Networks_RH_SomMotB_Cent_3,74.94,52,-6,38
17Networks_LH_SomMotB_Cent_5,73.98,-48,-16,40
17Networks_RH_SomMotA_4,73.82,50,-26,56
17Networks_LH_SomMotA_19,73.20,-12,-26,74
17Networks_RH_SomMotA_7,73.15,38,-20,64
17Networks_LH_SomMotB_S2_1,73.09,-38,-8,12
17Networks_RH_SomMotA_14,73.08,22,-24,66
17Networks_RH_SomMotA_16,73.01,22,-34,70
17Networks_RH_SomMotB_S2_7,72.88,48,-22,18
17Networks_RH_SomMotA_11,72.82,4,-24,58
17Networks_RH_SomMotB_S2_1,72.82,38,-8,14
17Networks_LH_SomMotB_S2_5,72.28,-48,-24,18
17Networks_LH_SomMotA_4,71.82,-48,-30,58
17Networks_LH_SomMotA_7,71.59,-4,-24,56
17Networks_LH_SomMotB_Cent_4,70.93,-52,-6,44
