BMID_Experiment,X,Y,Z
30008_3,-2,3,61
,-29,25,4
,-41,10,33
,-45,-55,-12
,14,-72,-22
,31,-62,-23
,5,19,50
30009_1,-11,-95,-6
,-12,-82,-14
,-18,-88,-10
,-21,-82,-17
,-25,-51,38
,-25,-53,49
,-28,-100,15
,-28,-75,37
,-29,-94,1
,-29,22,1
,-31,-64,50
,-32,-43,-17
,-32,-49,-16
,-32,-76,-17
,-35,-55,-16
,-35,-83,7
,-35,0,62
,-38,10,33
,-5,-69,-18
,-5,15,50
,-52,27,32
,1,-52,-20
,1,-61,-9
,11,-14,10
,11,-15,-3
,11,-73,15
,11,15,54
,14,-96,14
,14,22,45
,17,-78,-11
,2,-86,16
,2,3,61
,21,-83,3
,21,-97,1
,24,-99,14
,28,-53,48
,28,-75,-12
,34,-80,-1
,34,29,3
,35,-71,33
,35,-91,3
,38,-63,52
,38,0,55
,38,4,64
,40,65,3
,41,-53,51
,41,-68,-9
,41,-9,62
,44,14,29
,50,40,27
,51,15,42
,8,-69,-12
,8,-76,-29
30010_1,-28,-65,46
,-41,-2,38
,-48,22,23
,-59,-1,17
,14,14,33
,47,-50,-7
,47,33,31
30021_1,-1,36,30
,-11,-68,60
,-30,-51,50
,-33,22,-2
,-34,-75,27
,-37,1,40
,-39,33,22
,-46,7,24
,-6,19,46
,0,-47,29
,1,-48,52
,23,6,52
,28,-79,41
,32,-48,50
,35,26,-3
,40,38,19
,48,-54,-5
30034_1,-33,0,32
,-40,-35,-5
,-51,40,-8
,-9,18,30
,29,27,10
30063_5,-24,46,12
,-30,-58,32
,-32,0,36
,-42,20,20
,-6,-76,28
,12,-76,36
,40,28,36
,40,48,16
,42,-60,40
,8,22,28
30066_1,-15,-34,2
,-25,-52,52
,-32,50,9
,-41,10,33
,-48,-67,-18
,-48,21,11
,-8,-4,10
,-8,-84,10
,1,55,33
,17,-30,5
,28,-59,45
,28,29,-17
,47,-51,-20
,47,-70,-22
,47,32,16
30077_2,-20,13,48
,-25,32,12
,-32,-54,42
,-42,6,29
,-58,-64,-11
,16,18,48
,36,55,-12
,42,-50,51
,50,25,21
,63,-50,-14
30077_4,-25,-57,36
,-36,-50,41
,-39,36,17
,-4,-31,-21
,-41,-1,45
,-42,12,32
,-44,15,24
,-55,-50,-14
,0,22,45
,25,-78,-2
,29,13,39
,31,32,21
,32,-2,53
,36,-49,39
,43,-56,53
,46,29,24
,63,-45,-14
30080_2,-32,-72,-16
,-36,-88,-8
,-44,-52,-16
,-44,0,28
,-48,-60,-12
,-56,-4,36
30080_4,-44,-52,-20
,-44,4,28
,44,4,28
30116_1,-28,-70,36
,-34,20,4
,-42,-2,32
,16,-46,-16
,2,4,28
,24,-62,-24
,26,2,56
,36,24,4
,36,30,-4
,38,46,0
,40,34,20
,44,-50,48
,48,26,28
,8,20,44
30119_1,-12,-14,2
,-16,-18,2
,-2,22,48
,-24,-96,-2
,-28,-74,18
,-32,-52,40
,-32,-58,46
,-38,-70,-28
,-40,10,26
,-44,-4,42
,-44,-66,-10
,-44,-68,-6
,-48,-46,4
,-48,26,6
,-50,-38,12
,-54,-14,10
,-56,-44,2
,28,-56,50
,28,-88,0
,30,-74,18
,34,-48,40
,4,6,56
,44,12,22
,44,14,24
,46,-62,-4
,46,2,44
,48,-64,-10
,52,-54,2
,54,-50,4
,58,-34,12
,8,-80,-32
30119_2,-26,-94,0
,-30,-82,6
,-32,-58,46
,-32,-58,54
,-40,-70,-26
,-42,10,28
,-44,-54,-14
,-46,28,6
,-48,-64,-8
,-50,-42,4
,-52,-8,42
,-54,-46,-2
,2,22,46
,24,-90,-2
,26,-88,12
,34,-54,-28
,38,26,-2
,4,24,46
,40,-48,52
,42,-46,46
,44,12,20
,46,-58,-12
,46,0,44
,54,-52,-4
30119_3,-12,-14,2
,-14,-80,-32
,-2,-2,58
,-30,-92,-4
,-32,-48,56
,-34,24,-6
,-36,-2,52
,-40,10,26
,-42,-68,-4
,-48,-34,20
,-48,-50,4
,-50,-38,26
