data_id,data_field,category_id,category_field,Participants,Value Type,Sexed,Debut,Item count,Item Type,Instances,Version,Stability,Strata,Array,level1,level2,level3,level4,level5,level6,level7,level8
12224,Abdominal MRI measurement completed,105,Abdominal MRI,"45,813",Categorical (single),Both sexes,Sep 2015,"48,473",Data,Defined (2),Feb 2020,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12223,Abdominal MRI measuring method,105,Abdominal MRI,"47,060",Categorical (single),Both sexes,Sep 2015,"49,794",Data,Defined (2),Feb 2020,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12140,Believed safe to perform abdominal MRI scan,105,Abdominal MRI,"47,922",Categorical (single),Both sexes,Sep 2015,"50,661",Data,Defined (2),Feb 2020,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201,Dixon technique for internal fat - DICOM,105,Abdominal MRI,"40,340",Text,Both sexes,Jul 2014,"41,473",Bulk,Defined (2),Oct 2019,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22434,Abdominal fat ratio,149,Abdominal composition,"9,797","Continuous, fraction",Both sexes,Jan 2020,"9,797",Data,Defined (1),Jan 2020,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22436,Liver proton density fat fraction (AMRA),149,Abdominal composition,"9,894","Continuous, percent",Both sexes,Jan 2020,"9,894",Data,Defined (1),Jan 2020,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22435,Muscle fat infiltration,149,Abdominal composition,"9,724","Continuous, percent",Both sexes,Jan 2020,"9,724",Data,Defined (1),Jan 2020,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22432,Total abdominal adipose tissue index,149,Abdominal composition,"9,978","Continuous, L/m2",Both sexes,Jan 2020,"9,978",Data,Defined (1),Jan 2020,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22433,Weight-to-muscle ratio,149,Abdominal composition,"9,812","Continuous, kg/L",Both sexes,Jan 2020,"9,812",Data,Defined (1),Jan 2020,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22410,Total trunk fat volume,149,Abdominal composition,"5,995","Continuous, litres",Both sexes,Jan 2017,"5,995",Data,Defined (1),Oct 2017,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
