field,description,data_type
subject_id,HCP subject identifier,six-digit integer
run_label,session/run identifier,e.g. REST1_R1; REST1_R2; REST2_R1; REST2_R2
session,resting state fMRI scan session order (each session typically occurs on a different day),1 (first session); 2 (second session)
run,resting state fMRI scan run order,1 (first run); 2 (second run)
CIFTI_data,whether the CIFTI resting state fMRI data exists  (e.g. rfMRI_REST1_LR_Atlas_MSMAll_hp2000_clean.dtseries.nii),1 (file exists); 0 (file missing)
phase_encoding_dir,phase encoding direction,LR (left-to-right); RL (right-to-left)
GS_fluctuation,global signal fluctuation defined as the temporal standard deviation of the mean cortical grayordinate signal ,float
physio_data,whether the physiological recording exists (e.g. rfMRI_REST1_LR_Physio_log.txt),1 (file exists); 0 (file missing)
pulse_QC,whether pulse data passed quality check,1 (passed quality check); 0 (failed quality check)
HR_mean,mean heart rate ,float
HR_std,standard deviation of heart rate ,float
HR_RMSSD,root-mean-square-of-the-successive-differences (RMSSD) of intervals between pulse peaks ,float
resp_QC,whether respiratory data passed quality check,1 (passed quality check); 0 (failed quality check)
RV_mean,mean of respiratory variation (RV),float
RV_std,standard deviation of respiratory variation (RV) ,float
high_motion,high-motions run where more than 50% of frames are outliers based on DVARS/FD criteria,1 (a high-motion run); 0 (not a high-motion run)
outlier_frames_percent,percentage of frames flagged as outliers based on DVARS/FD criteria,float
DVARS_dips_percent,percentage of frames flagged as outliers based on DVARS dips criteria ,float
FD_mean,mean framewise displacement,float
FD_std,standard deviation of framewise displacement,float
AD_mean,mean absolute displacement,float
AD_std,standard deviation of absolute displacement,float
DVARS_mean,mean DVARS ,float
DVARS_std,standard deviation of DVARS,float
time_of_day,time of day (seconds elapsed since midnight),integer 
