data_id,CO(GT)
data-1,2
data-2,2.2
data-3,2.6
data-4,1.2
data-5,2.2
data-6,1.6
data-7,1
data-8,1.5
data-9,1.5
data-10,0.7
data-11,0.7
data-12,2
data-13,1.1
data-14,3.9
data-15,1.7
data-16,1.2
data-17,0.9
data-18,2.2
data-19,1
data-20,1.6
data-21,4.8
data-22,6.1
data-23,2.9
data-24,6.9
data-25,1.9
data-26,2.2
data-27,2.9
data-28,2.2
data-29,2.1
data-30,0.6
data-31,0.8
data-32,2.7
data-33,2.5
data-34,1.4
data-35,1.9
data-36,1.4
data-37,3.1
data-38,1.7
data-39,4.4
data-40,2.4
data-41,2.7
data-42,2.9
data-43,2.8
data-44,3.9
data-45,3.7
data-46,6.6
data-47,4.4
data-48,3.5
data-49,5.4
data-50,1.2
data-51,1.5
data-52,2.7
data-53,2.8
data-54,1
data-55,2.5
data-56,2
data-57,3.6
data-58,2.3
data-59,3.7
data-60,2
data-61,1.6
data-62,3.2
data-63,1.9
data-64,4.1
data-65,3.2
data-66,4.2
data-67,2.7
data-68,4.2
data-69,3.1
data-70,4.2
data-71,2.6
data-72,3
data-73,1.9
data-74,1.8
data-75,2.9
data-76,2
data-77,2.5
data-78,1
data-79,2.8
data-80,2.9
data-81,0.9
data-82,1.4
data-83,1.2
data-84,2.8
data-85,2.5
data-86,1.6
data-87,2.2
data-88,4.6
data-89,2.8
data-90,5.9
data-91,2.2
data-92,3.4
data-93,2.1
data-94,2.5
data-95,2.9
data-96,4.2
data-97,2.3
data-98,3.1
data-99,5.8
data-100,8.1
data-101,1.8
data-102,2.9
data-103,2.8
data-104,1.8
data-105,5.5
data-106,1.8
data-107,1
data-108,2.2
data-109,1.4
data-110,6.1
data-111,8
data-112,1.4
data-113,3.2
data-114,4.2
data-115,6.5
data-116,2.9
data-117,2.8
data-118,2.9
data-119,3.4
data-120,3.8
data-121,3.3
data-122,4
data-123,4.1
data-124,5.3
data-125,3.2
data-126,1.3
data-127,3.4
data-128,3.9
data-129,3.7
data-130,5.1
data-131,0.9
data-132,1.7
data-133,0.6
data-134,2.6
data-135,0.8
data-136,1.2
data-137,2.1
data-138,5
data-139,2.5
data-140,2.9
data-141,2
data-142,7.6
data-143,1.6
data-144,4.1
data-145,0.5
data-146,6.6
data-147,0.5
data-148,4.3
data-149,2.8
data-150,2.9
data-151,2.5
data-152,2.6
data-153,2.8
data-154,0.9
data-155,1.2
data-156,6.7
data-157,2.6
data-158,1.7
data-159,5.7
data-160,2.2
data-161,3.7
data-162,5.1
data-163,5.1
data-164,2.3
data-165,2.7
data-166,1.5
data-167,0.7
data-168,4.7
data-169,2.8
data-170,6.6
data-171,4.5
data-172,2.2
data-173,0.6
data-174,2.8
data-175,2.2
data-176,1
data-177,3.2
data-178,1.4
data-179,2.3
data-180,2.1
data-181,1.7
data-182,3.3
data-183,3
data-184,2.8
data-185,3.5
data-186,4.5
data-187,3.3
data-188,3.9
data-189,4.1
data-190,4
data-191,4
data-192,4
data-193,6.2
data-194,4.6
data-195,4.8
data-196,1.5
data-197,2.1
data-198,0.7
data-199,2.2
data-200,0.5
data-201,2
data-202,1.6
data-203,0.9
data-204,0.8
data-205,1.3
data-206,2.4
data-207,1.6
data-208,2.6
data-209,1.1
data-210,2.8
data-211,2.1
data-212,1.7
data-213,0.8
data-214,2.6
data-215,2.6
data-216,2.1
data-217,1.7
data-218,1.6
data-219,2.1
data-220,2.3
data-221,3.9
data-222,3.3
data-223,2.3
data-224,3.5
data-225,2.1
data-226,1.9
data-227,2.3
data-228,3.8
data-229,4.3
data-230,2.8
data-231,3.5
data-232,1.6
data-233,1.9
data-234,1.6
data-235,1.9
data-236,1.3
data-237,1.1
data-238,1.9
data-239,1.8
data-240,0.7
data-241,2.8
data-242,2.1
data-243,0.8
data-244,1.8
data-245,1.2
data-246,1.4
data-247,1.7
data-248,2.3
data-249,2.2
data-250,2.1
data-251,2.6
data-252,2
data-253,1.9
data-254,1.6
data-255,1.8
data-256,1.1
data-257,3.3
data-258,4.5
data-259,2
data-260,3.8
data-261,3.7
data-262,4.4
data-263,3.6
data-264,0.6
data-265,0.3
data-266,1.2
data-267,0.6
data-268,1.5
data-269,1.7
data-270,1.3
data-271,2.8
data-272,1.9
data-273,2.7
data-274,3.3
data-275,1.7
data-276,1.9
data-277,1.3
data-278,0.9
data-279,0.8
data-280,3
data-281,2.7
data-282,3.5
data-283,0.7
data-284,3
data-285,2
data-286,3.4
data-287,0.5
data-288,1.1
data-289,3
data-290,0.3
data-291,3.8
data-292,1.7
data-293,2.2
data-294,1.5
data-295,0.8
data-296,1.2
data-297,3.1
data-298,1.7
data-299,4.4
data-300,0.6
data-301,1.3
data-302,3.4
data-303,0.9
data-304,1.1
data-305,1.2
data-306,1.7
data-307,2.6
data-308,3.5
data-309,4.5
data-310,2.7
data-311,2.8
data-312,2.7
